HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Group,GroupNum,FirstName,LastName,Deck,Num,Split
Mars,False,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,True,0031,01,coobix,datie,F,9,P
Mars,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,0031,02,cinets,datie,F,9,P
Mars,False,TRAPPIST-1e,20.0,False,,0.0,1750.0,990.0,0.0,True,0031,03,dontch,datie,F,9,P
Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,0034,01,ziba,oingwhedly,D,1,S
Mars,False,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,False,0035,01,luse,butte,D,1,P
Earth,False,55 Cancri e,15.0,,0.0,492.0,48.0,20.0,401.0,False,0036,01,marina,leodger,F,8,S
Earth,False,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,False,0038,01,loise,wheelez,F,10,S
Earth,True,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,False,0039,01,jorgie,batthewitt,G,1,P
Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,True,0041,01,margia,moodsey,G,2,P
Europa,False,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,False,0043,01,ankalik,cylistrand,B,3,P
Earth,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,False,0044,01,jodye,coopelandez,G,3,P
Earth,True,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,True,0044,02,kayne,coopelandez,G,3,P
Earth,True,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,True,0044,03,cassa,coopelandez,G,3,P
Mars,False,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,False,0045,01,zelowl,chmad,F,10,P
Mars,True,,19.0,False,0.0,0.0,0.0,0.0,0.0,True,0045,02,mass,chmad,F,10,P
Earth,False,55 Cancri e,35.0,False,790.0,0.0,0.0,,0.0,False,0050,01,sony,lancis,E,1,S
Earth,False,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,False,0051,01,vivia,johnshines,E,2,S
Earth,False,TRAPPIST-1e,,False,4.0,0.0,2.0,4683.0,0.0,False,0052,01,elaney,hubbarton,G,6,S
Earth,False,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,True,0053,01,elson,hickerson,F,11,S
Europa,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,0056,01,okulas,tractive,A,1,S
Europa,True,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,True,0056,02,instab,tractive,A,1,S
Europa,False,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,True,0056,03,zinoces,tractive,A,1,S
Earth,True,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,False,0058,01,warry,ayalazquez,G,7,S
Earth,False,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,False,0061,01,shanya,salez,F,12,S
Earth,False,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,False,0062,01,sterry,greeves,F,13,S
Mars,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True,0064,01,,,F,14,S
0064,True,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,0.0,0.0,True,0064,02,colatz,keen,E,3,S
Earth,False,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,False,0066,01,diandy,pecketton,G,6,P
Earth,True,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,True,0067,01,ninaha,leeves,G,10,S
Earth,False,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,True,0067,02,celine,leeves,G,10,S
Earth,False,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,False,0067,03,velyne,leeves,F,15,S
Mars,False,TRAPPIST-1e,,False,793.0,0.0,2.0,253.0,0.0,False,0068,01,cinst,binie,E,4,S
Earth,False,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,True,0069,01,,,F,16,S
Earth,False,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,False,0070,01,meremy,brighttt,F,13,P
Earth,False,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,False,0071,01,nelly,dillines,F,14,P
Earth,False,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,False,0072,01,thell,brantuarez,F,17,S
Mars,False,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,False,0073,01,gorn,make,D,3,P
Europa,False,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,True,0074,01,aldibah,mostedry,C,3,S
Mars,False,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,True,0076,01,conk,dal,F,18,S
Mars,False,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,True,0077,01,pon,blité,F,15,P
Europa,False,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,False,0078,01,spuri,pokerheed,C,4,S
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,False,0081,01,dellie,vinozarks,G,13,S
Mars,False,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,False,0082,01,totse,datte,F,16,P
Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,0082,02,eaturs,datte,F,16,P
Mars,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,True,0082,03,,,F,16,P
Earth,False,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,True,0084,01,coren,coopezmaney,G,14,S
Europa,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,True,0085,01,furudah,ellcefulve,C,5,S
Earth,False,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,False,0086,01,jodye,kinson,F,17,P
Mars,True,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,True,0088,01,stmeal,sacre,E,5,S
Earth,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,0090,01,heremy,santry,G,15,S
Earth,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,True,0091,01,deanne,yorkland,G,16,S
Earth,False,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,False,0091,02,tinez,yorkland,F,20,S
Earth,False,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,False,0092,01,gracy,dunnisey,G,9,P
Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,0092,02,stald,hewson,G,9,P
Earth,True,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,True,0092,03,tiney,hewson,G,9,P
Europa,False,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,False,0097,01,alchium,fictful,A,2,S
Earth,False,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,False,0098,01,doria,carezquez,G,11,P
Earth,False,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,True,0098,02,leence,carezquez,G,11,P
Earth,False,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,False,0099,01,aliey,leetersoney,F,19,P
Earth,,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,0099,02,thewis,connelson,G,12,P
Mars,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,True,0101,01,book,trad,,,
Earth,False,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,False,0102,01,ritany,holson,F,23,S
Earth,False,TRAPPIST-1e,24.0,False,0.0,,0.0,0.0,17.0,True,0103,01,arlen,mclainez,F,24,S
Earth,True,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,True,0103,02,shaele,mclainez,G,18,S
Earth,True,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,False,0103,03,fanne,mclainez,G,18,S
Earth,,TRAPPIST-1e,27.0,False,0.0,0.0,570.0,2.0,131.0,False,0105,01,carry,cleachrand,F,21,P
Mars,False,TRAPPIST-1e,21.0,False,1743.0,5.0,17.0,0.0,0.0,False,0107,01,coobix,hart,D,2,S
Earth,True,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,False,0108,01,natald,handertiz,G,19,S
Earth,False,TRAPPIST-1e,31.0,False,562.0,0.0,326.0,0.0,0.0,False,0108,02,,,G,19,S
Earth,False,TRAPPIST-1e,0.0,,0.0,0.0,0.0,0.0,0.0,True,0108,03,oline,handertiz,G,19,S
Europa,False,TRAPPIST-1e,32.0,False,0.0,410.0,6.0,3929.0,764.0,False,0110,01,graviph,aloubtled,,,
Europa,,TRAPPIST-1e,40.0,False,0.0,331.0,0.0,0.0,1687.0,False,0110,02,aldeba,bootious,B,5,P
Europa,False,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,True,0110,03,alaratz,aloubtled,B,5,P
Europa,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,0110,04,izark,aloubtled,B,5,P
Europa,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,True,0111,01,aldera,supred,E,6,S
Europa,False,55 Cancri e,48.0,True,0.0,2537.0,87.0,17.0,13.0,True,0112,01,moth,cowtale,B,1,S
Earth,False,TRAPPIST-1e,64.0,False,0.0,0.0,804.0,0.0,0.0,True,0113,01,idary,carvis,F,23,P
Earth,False,TRAPPIST-1e,27.0,False,82.0,157.0,429.0,238.0,1.0,False,0114,01,maura,beckerson,G,20,S
Mars,,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,,True,0115,01,rohs,pead,F,24,P
Europa,False,TRAPPIST-1e,33.0,False,1.0,2223.0,0.0,12.0,404.0,True,0116,01,alhenah,suptive,D,4,P
0119,False,TRAPPIST-1e,39.0,False,0.0,2344.0,0.0,65.0,6898.0,False,0119,01,batan,coning,A,0,P
Europa,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True,0119,02,kleeiak,coning,A,0,P
Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,0120,01,bees,sacre,F,25,P
Earth,False,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,699.0,74.0,False,0122,01,shelle,hayder,G,21,S
Earth,False,TRAPPIST-1e,18.0,False,55.0,597.0,49.0,0.0,1.0,False,0123,01,iree,fielson,F,27,P
Mars,True,TRAPPIST-1e,67.0,False,0.0,0.0,0.0,0.0,0.0,True,0126,01,milly,mish,F,27,S
Mars,False,TRAPPIST-1e,35.0,False,701.0,0.0,296.0,0.0,25.0,False,0127,01,miloss,mesty,E,7,S
Mars,False,TRAPPIST-1e,61.0,True,2353.0,334.0,9.0,316.0,2.0,False,0128,01,grohs,fles,D,3,S
Mars,False,TRAPPIST-1e,45.0,False,2103.0,6.0,0.0,0.0,0.0,False,0128,02,barave,fles,E,8,S
Earth,True,PSO J318.5-22,22.0,False,0.0,0.0,0.0,0.0,0.0,True,0129,01,race,fowles,G,22,S
Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,True,0133,01,flynx,blie,F,29,S
Mars,False,TRAPPIST-1e,36.0,False,2738.0,0.0,0.0,0.0,0.0,False,0133,02,egrasp,blie,D,5,S
Earth,False,TRAPPIST-1e,19.0,False,0.0,14.0,730.0,0.0,0.0,True,0134,01,camina,harmontry,G,17,P
Earth,False,PSO J318.5-22,47.0,False,97.0,418.0,126.0,25.0,55.0,False,0136,01,,,G,23,S
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True,0138,01,fayene,gambs,G,18,P
Earth,False,,34.0,False,0.0,22.0,0.0,564.0,207.0,False,0138,02,monah,gambs,E,5,P
Europa,True,55 Cancri e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,0139,01,charda,myling,C,6,S
Earth,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,0140,01,evaley,mejiaddox,G,19,P
Earth,False,TRAPPIST-1e,26.0,False,440.0,0.0,0.0,0.0,462.0,False,0140,02,verney,whitakers,F,29,P
Mars,False,TRAPPIST-1e,31.0,False,,0.0,97.0,0.0,0.0,False,0141,01,pyrohs,harte,F,30,P
Earth,False,TRAPPIST-1e,20.0,False,0.0,420.0,210.0,0.0,0.0,True,0144,01,guadae,dayers,F,31,S
Earth,False,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,False,0146,01,verly,wolferguson,G,25,S
Earth,True,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,True,0147,01,samie,hubbarrison,G,26,S
Mars,False,TRAPPIST-1e,42.0,False,1072.0,0.0,10.0,0.0,76.0,False,0148,01,corsh,pashe,F,31,P
Earth,True,55 Cancri e,,False,0.0,0.0,0.0,0.0,0.0,True,0149,01,billya,hubbarrison,G,27,S
Earth,True,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,False,0151,01,shanie,simson,G,20,P
Earth,False,,41.0,False,0.0,0.0,0.0,0.0,607.0,False,0152,01,andan,estron,F,32,P
Earth,False,TRAPPIST-1e,22.0,False,4119.0,0.0,0.0,0.0,61.0,False,0160,01,gory,atkinney,G,22,P
Europa,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,True,0163,01,kabiton,hetforhaft,B,8,P
Europa,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,True,0163,02,scharab,hetforhaft,B,8,P
Earth,False,TRAPPIST-1e,57.0,False,50.0,1688.0,0.0,,135.0,True,0164,01,fany,hutchinton,G,28,S
Earth,True,PSO J318.5-22,17.0,False,0.0,0.0,0.0,0.0,0.0,False,0164,02,ianya,hutchinton,G,28,S
Mars,True,TRAPPIST-1e,35.0,,0.0,0.0,0.0,0.0,0.0,True,0165,01,graven,anche,F,37,P
Mars,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True,0167,01,miten,floaf,F,35,S
Mars,False,TRAPPIST-1e,27.0,False,1365.0,0.0,48.0,22.0,137.0,False,0167,02,rios,floaf,F,35,S
Earth,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,False,0169,01,wandy,fisherry,G,23,P
Earth,False,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,221.0,567.0,False,0170,01,mollie,mcmahoney,E,10,S
Earth,True,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,True,0171,01,coracy,gordanieves,G,30,S
Earth,True,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,True,0172,01,hanna,johnshines,G,24,P
Earth,,TRAPPIST-1e,58.0,False,0.0,985.0,0.0,5.0,0.0,True,0173,01,hilip,grifford,E,11,S
Earth,False,55 Cancri e,21.0,False,287.0,0.0,16.0,115.0,175.0,False,0174,01,doryn,lambles,F,38,P
Europa,False,TRAPPIST-1e,38.0,False,0.0,10346.0,1.0,14970.0,2111.0,False,0177,01,toperon,iniouser,B,2,S
Mars,False,TRAPPIST-1e,38.0,False,3414.0,0.0,161.0,28.0,119.0,False,0178,01,wees,knik,D,6,S
Earth,False,TRAPPIST-1e,19.0,False,1.0,219.0,673.0,2.0,11.0,True,0179,01,elaney,webstephrey,G,26,P
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,False,0179,02,raque,webstephrey,G,26,P
Earth,False,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,True,0179,03,sallyl,webstephrey,G,26,P
Earth,False,TRAPPIST-1e,20.0,False,0.0,0.0,3.0,299.0,92.0,False,0181,01,nancis,brighttt,G,27,P
Europa,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,0182,01,ksorab,disight,C,3,P
Earth,False,TRAPPIST-1e,37.0,False,17.0,146.0,426.0,0.0,232.0,True,0183,01,stany,weaves,F,36,S
Earth,False,TRAPPIST-1e,25.0,False,62.0,0.0,0.0,0.0,956.0,False,0186,01,camiet,shephendry,G,28,P
Earth,True,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,True,0188,01,branda,romez,G,31,S
Earth,False,55 Cancri e,49.0,False,84.0,3.0,401.0,202.0,98.0,False,0189,01,helly,booters,E,8,P
Earth,True,55 Cancri e,11.0,False,0.0,0.0,0.0,0.0,0.0,False,0190,01,,,G,32,S
Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,True,0192,01,tance,adavisons,G,29,P
Earth,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,False,0192,02,robyny,adavisons,G,29,P
Earth,False,TRAPPIST-1e,39.0,False,0.0,0.0,10.0,898.0,0.0,False,0192,03,lilace,adavisons,G,29,P
Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,0193,01,sps,raf,F,41,P
Mars,False,TRAPPIST-1e,23.0,False,,0.0,8.0,1072.0,0.0,False,0193,02,frook,raf,F,41,P
Mars,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,0193,03,goles,raf,F,41,P
Mars,False,TRAPPIST-1e,39.0,False,406.0,0.0,867.0,0.0,0.0,True,0195,01,bar,floaf,F,42,P
Mars,False,PSO J318.5-22,25.0,False,1052.0,0.0,719.0,0.0,7.0,False,0196,01,caper,emead,D,5,P
Europa,False,TRAPPIST-1e,36.0,False,0.0,972.0,0.0,795.0,575.0,False,0197,01,astrak,dissper,C,5,P
Earth,,PSO J318.5-22,52.0,False,0.0,0.0,0.0,0.0,0.0,True,0198,01,jeroy,cookson,G,30,P
Earth,True,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,False,0199,01,regana,morrows,G,33,S
Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True,0200,01,elia,colomonson,G,31,P
Europa,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,0201,01,kaffias,bacistion,B,3,S
Europa,True,TRAPPIST-1e,47.0,False,0.0,0.0,0.0,0.0,0.0,True,0201,02,edaruma,bacistion,B,3,S
Europa,True,55 Cancri e,45.0,False,0.0,0.0,0.0,0.0,0.0,True,0202,01,pomera,embleng,B,9,P
Europa,False,55 Cancri e,,False,0.0,2433.0,,878.0,443.0,True,0202,02,vegas,embleng,A,2,P
Europa,True,TRAPPIST-1e,51.0,False,0.0,0.0,0.0,0.0,0.0,True,0203,01,ancham,heateele,C,8,S
Earth,False,TRAPPIST-1e,29.0,False,0.0,2.0,66.0,0.0,705.0,False,0205,01,carma,oneiles,G,34,S
Europa,False,55 Cancri e,,False,2.0,1720.0,12.0,1125.0,122.0,True,0206,01,nuson,brugashed,C,9,S
Earth,True,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,False,0207,01,thony,mcfaddennon,G,32,P
0210,True,55 Cancri e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,0210,01,arraid,inicont,D,6,P
Mars,False,TRAPPIST-1e,29.0,False,902.0,1.0,137.0,0.0,0.0,True,0211,01,pebuts,appie,F,44,P
Mars,True,TRAPPIST-1e,11.0,False,0.0,0.0,0.0,0.0,0.0,True,0211,02,corsh,appie,F,44,P
Mars,False,TRAPPIST-1e,17.0,False,848.0,0.0,307.0,182.0,0.0,False,0211,03,picers,date,F,44,P
Earth,False,TRAPPIST-1e,13.0,False,192.0,0.0,0.0,51.0,739.0,False,0212,01,inen,workmans,E,9,P
Earth,False,TRAPPIST-1e,35.0,False,147.0,188.0,0.0,10.0,387.0,False,0212,02,shally,workmans,F,45,P
Earth,False,TRAPPIST-1e,21.0,False,367.0,281.0,0.0,0.0,146.0,False,0213,01,carita,navages,F,46,P
Earth,False,55 Cancri e,21.0,False,0.0,56.0,0.0,0.0,1918.0,False,0216,01,searla,garnes,F,40,S
Earth,False,TRAPPIST-1e,38.0,False,1517.0,0.0,0.0,27.0,0.0,False,0217,01,prilly,shieldson,F,47,P
Earth,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,True,0219,01,nica,river,G,36,P
Earth,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,0220,01,tyle,wilsoney,G,37,P
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,0220,02,wena,wilsoney,G,37,P
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,False,0220,03,branca,wilsoney,G,37,P
Earth,False,TRAPPIST-1e,25.0,False,122.0,84.0,,0.0,0.0,False,0220,04,dont,wilsoney,E,10,P
Earth,False,TRAPPIST-1e,16.0,False,0.0,3.0,0.0,0.0,1099.0,False,0220,05,velyne,wilsoney,F,48,P
Earth,False,55 Cancri e,1.0,False,0.0,0.0,0.0,0.0,0.0,False,0220,06,weney,wilsoney,G,37,P
Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True,0220,07,guye,wilsoney,G,37,P
Mars,False,55 Cancri e,21.0,False,2237.0,0.0,119.0,0.0,0.0,False,0221,01,cowhex,blan,E,13,S
Mars,False,TRAPPIST-1e,23.0,False,1215.0,80.0,1.0,2.0,0.0,False,0221,02,yogark,reke,E,13,S
Mars,False,TRAPPIST-1e,33.0,False,1933.0,12.0,188.0,1.0,0.0,False,0221,03,jacks,reke,E,13,S
Mars,True,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,True,0221,04,eerch,reke,E,13,S
Mars,False,TRAPPIST-1e,41.0,False,1230.0,0.0,301.0,43.0,1023.0,False,0221,05,panbug,reke,E,13,S
Mars,False,TRAPPIST-1e,16.0,False,915.0,0.0,221.0,234.0,0.0,False,0221,06,gran,reke,E,13,S
Mars,True,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,False,0221,07,rohs,reke,E,13,S
Mars,False,TRAPPIST-1e,20.0,False,1406.0,0.0,0.0,11.0,0.0,False,0222,01,gone,perte,F,41,S
Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,0222,02,colf,deva,F,41,S
Mars,True,TRAPPIST-1e,16.0,False,0.0,0.0,0.0,0.0,0.0,True,0222,03,grake,perte,E,14,S
Earth,False,TRAPPIST-1e,21.0,False,0.0,2.0,665.0,0.0,9.0,False,0223,01,evan,sykess,G,35,S
Mars,False,TRAPPIST-1e,32.0,True,181.0,0.0,5.0,1634.0,0.0,False,0224,01,blues,queen,F,42,S
Earth,True,PSO J318.5-22,58.0,False,0.0,0.0,0.0,0.0,0.0,True,0225,01,carly,hortis,G,38,P
Earth,False,TRAPPIST-1e,24.0,False,4.0,7.0,0.0,713.0,79.0,False,0229,01,done,sellahaney,F,43,S
Mars,False,TRAPPIST-1e,30.0,False,85.0,0.0,1.0,1720.0,0.0,False,0231,01,krus,nate,F,44,S
